code NSF,code scolarité,sigle type formation,libellé type formation,libellé formation principal,sigle formation,durée,niveau de sortie indicatif,code RNCP,niveau de certification,libellé niveau de certification,tutelle,URL et ID Onisep,domaine/sous-domaine
255,1703260W,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité électronique et informatique,ESIPE UGE,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6153,"électricité, électronique, robotique/électronique | informatique, Internet/informatique industrielle et technologique | électricité, électronique, robotique/télécommunications"
255,1702550S,,diplôme d'ingénieur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris-Saclay spécialité photonique,Polytech,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.8310,"mécanique/aéronautique | électricité, électronique, robotique/électronique | sciences/physique"
310,,,formation d'école spécialisée,Master of Science Data Science for Business (HEC Paris - Ecole Polytechnique),,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3588,"informatique, Internet/bases de données | commerce, marketing, vente/marketing, vente"
310,,,formation d'école spécialisée,Masters of arts de l'American University of Paris,,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2610,"information-communication, audiovisuel/communication | économie, droit, politique/sciences politiques"
311,,mastère spé.,mastère spécialisé,mastère spé. Manager de projets en infrastructures de recharge et véhicules électriques et autonomes  (ENSAM Lille  - ENSTA Paris - Mines Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3353,"environnement, énergies, propreté/énergies | logistique, transport/transport"
222,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École nationale supérieure de chimie de Paris,ENSCP,3 ans,Bac + 5,4590.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.930,"gestion des entreprises, comptabilité/administration de l'entreprise | sciences/biologie | sciences/chimie | environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/matériaux | matières premières, fabrication, industries/méthodes industrialisation"
251,1702510M,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité mécanique,ESIPE UGE,3 ans,Bac + 5,26659.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5671,"matières premières, fabrication, industries/études et développement | informatique, Internet/informatique industrielle et technologique | matières premières, fabrication, industries/matériaux | mécanique/mécanique (généralités) | matières premières, fabrication, industries/méthodes industrialisation"
255,,,diplôme d'ingénieur,diplôme d'ingénieur de Télécom SudParis de l'Institut Mines-Télécom spécialité informatique et réseaux,IMT,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.9410,"informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
255,1702550S,,diplôme d'ingénieur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris-Saclay spécialité photonique en partenariat avec l'ITII Ile de France,Polytech,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.8311,"mécanique/automatismes | électricité, électronique, robotique/électronique | informatique, Internet/informatique industrielle et technologique | santé, social, sport/paramédical | sciences/physique | santé, social, sport/santé (généralités)"
255,1702010R,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut des sciences et techniques des Yvelines de l'université de Versailles Saint-Quentin en Yvelines spécialité systèmes électroniques embarqués en partenariat avec l'ITII Ile de France,ISTY,3 ans,Bac + 5,34756.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6131,"mécanique/aéronautique | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique (généralités)"
255,,MSc,master of science,MSc Electrical and Optical Engineering (Télécom SudParis),,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2961,"électricité, électronique, robotique/électronique"
255,,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité télécommunications et réseaux,Sup Galilée,5 ans,Bac + 5,12851.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5581,"électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
310,25531001,,formation d'école spécialisée,Diplôme de premier cycle de l'université Paris-Dauphine mention gestion,,3 ans,Bac + 3,25254.0,2,niveau 6 (bac + 3),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7334,"gestion des entreprises, comptabilité/administration de l'entreprise"
323,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité multimédia et technologies de l'information,ESIPE UGE,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5627,"arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/audiovisuel | information-communication, audiovisuel/communication | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia"
323,,,formation d'école spécialisée,Diplôme supérieur des métiers du son du CNSMD de Paris,,4 ans,Bac + 5,,1,niveau 7 (bac + 5),Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.347,"arts, culture, artisanat/arts du spectacle | information-communication, audiovisuel/audiovisuel"
326,,mastère spé.,mastère spécialisé,mastère spé. Big Data : gestion et analyse de données massives (TELECOM Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2406,"informatique, Internet/bases de données | sciences/mathématiques"
326,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École d'ingénieurs Denis Diderot de l'université Paris Cité spécialité génie physique,EIDD,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7817,"mécanique/aéronautique | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/études et développement | informatique, Internet/informatique (généralités) | sciences/physique | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
326,,MSc,master of science,MSc Computer Science for Communication Networks (Télécom SudParis),,2 ans,Bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4156,"informatique, Internet/informatique (généralités) | information-communication, audiovisuel/multimédia | électricité, électronique, robotique/télécommunications"
326,17032601,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité informatique,Sup Galilée,5 ans,Bac + 5,12854.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5677,"informatique, Internet/développement, programmation, logiciel | informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux"
200,,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité instrumentation,Sup Galilée,5 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.5327,"électricité, électronique, robotique/électronique | santé, social, sport/santé (généralités)"
200,,mastère spé.,mastère spécialisé,mastère spé. Management de la qualité (Arts et Métiers ParisTech - ENSAM),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1254,"matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/maintenance, qualité"
