geo_point_2d;geo_shape;nature_l;sigle;secteur;code_postal;commune;academie;denom;nom_lycee;dept
49.108124496200055, 2.424981427854919;"{""coordinates"": [2.424981427854919, 49.108124496200055], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;95352;Luzarches;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;GÉRARD-DE-NERVAL;95
48.87112735537014, 2.1941475277096063;"{""coordinates"": [2.194147527709606, 48.87112735537014], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;92063;Rueil-Malmaison;Versailles;LPO LYCEE DES METIERS;GUSTAVE-EIFFEL;92
48.871061858774056, 2.4178456611967785;"{""coordinates"": [2.417845661196778, 48.871061858774056], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;93006;Bagnolet;Créteil;LYCEE POLYVALENT PRIVE;SAINT-BENOIST-DE-L'EUROPE;93
48.77145456001282, 2.121685480106895;"{""coordinates"": [2.121685480106895, 48.77145456001282], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;78117;Buc;Versailles;LYCEE GENERAL;LYCEE FRANCO-ALLEMAND;78
48.58686463029266, 2.248691839983341;"{""coordinates"": [2.248691839983341, 48.58686463029266], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;91021;Arpajon;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;EDMOND-MICHELET;91
48.727463570234136, 2.4387489520190244;"{""coordinates"": [2.438748952019024, 48.727463570234136], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94077;Villeneuve-le-Roi;Créteil;LYCEE POLYVALENT;GEORGES-BRASSENS;94
48.74918824481624, 2.4032516558996813;"{""coordinates"": [2.403251655899681, 48.74918824481624], ""type"": ""Point""}";Lycée professionnel;LP;Public;94054;Orly;Créteil;LP LYCEE DES METIERS;ARMAND-GUILLAUMIN;94
48.84861775433617, 2.427139355303803;"{""coordinates"": [2.427139355303803, 48.84861775433617], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;94080;Vincennes;Créteil;LYCEE GENERAL ET TECHNO PRIVE;GREGOR-MENDEL;94
48.81938733718293, 2.4661533871519716;"{""coordinates"": [2.466153387151972, 48.81938733718293], ""type"": ""Point""}";Lycée professionnel;LP;Privé;94042;Joinville-le-Pont;Créteil;LYCEE PROFESSIONNEL PRIVE;ENSEMBLE SAINTE-MARIE;94
48.82826616206416, 2.3529045755658475;"{""coordinates"": [2.352904575565848, 48.82826616206416], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;75113;Paris 13e Arrondissement;Paris;LYC POLYVAL PRIVE DES METIERS;GROUPE SCOLAIRE SAINT-VINCENT-DE-PAUL;75
