Identifiant action de formation;Enseignements de spécialité de classe de 1ère générale;Identifiant et fiche onisep lieu de cours;Libellé lieu de cours;Adresse lieu de cours;Code postal lieu de cours;Commune lieu de cours;Département lieu de cours;Région lieu de cours;Académie lieu de cours
AF.12292;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5655;Lycée Albert Einstein;Avenue de la Liberté;91706;Sainte-Geneviève-des-Bois;Essonne;Ile-de-France;Versailles
AF.12309;Sciences économiques et sociales / Arts : théâtre / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14122;Lycée Jacques Prévert;23 chemin Vert de Boissy;95150;Taverny;Val-d'Oise;Ile-de-France;Versailles
AF.17774;Sciences économiques et sociales / LLCER espagnol / Humanités, littérature et philosophie / Arts : cinéma - audiovisuel / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3743;Lycée polyvalent Clément Ader;76 rue Georges Clemenceau;77220;Tournan-en-Brie;Seine-et-Marne;Ile-de-France;Créteil
AF.17790;Sciences économiques et sociales / Arts : histoire des arts / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4177;Lycée polyvalent Auguste Blanqui;54 rue Charles Schmidt;93400;Saint-Ouen;Seine-Saint-Denis;Ile-de-France;Créteil
AF.17806;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10496;Lycée Sophie Germain;9 rue de Jouy;75004;Paris;Paris;Ile-de-France;Paris
AF.17813;Sciences économiques et sociales / Humanités, littérature et philosophie / Arts : cinéma - audiovisuel / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol / Éducation physique, pratiques et culture sportives;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2096;Lycée international de Paris Honoré de Balzac;118 boulevard Bessières;75017;Paris;Paris;Ile-de-France;Paris
AF.23518;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15693;Lycée privé Beth Yacov;50 bis rue des Prairies;75020;Paris;Paris;Ile-de-France;Paris
AF.23551;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7518;Lycée Marie Laurencin;51 rue Paul Cézanne;91542;Mennecy;Essonne;Ile-de-France;Versailles
AF.23625;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9842;Lycée Léonard de Vinci;Place Léonard de Vinci;91240;Saint-Michel-sur-Orge;Essonne;Ile-de-France;Versailles
AF.23641;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16370;Lycée Edmond Michelet;2 boulevard Abel Cornaton;91294;Arpajon;Essonne;Ile-de-France;Versailles
