n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0770918E;Lycée polyvalent Uruguay France - Lycée des métiers du social et de la santé;ILE-DE-FRANCE;MC5;;23;
0770920G;Lycée polyvalent La Fayette - Lycée des métiers de l'énergie, du numérique et des industries de production - Lycée des métiers du commerce;ILE-DE-FRANCE;BAC;36;66;41
0770920G;Lycée polyvalent La Fayette - Lycée des métiers de l'énergie, du numérique et des industries de production - Lycée des métiers du commerce;ILE-DE-FRANCE;BTS;29;35;43
0770920G;Lycée polyvalent La Fayette - Lycée des métiers de l'énergie, du numérique et des industries de production - Lycée des métiers du commerce;ILE-DE-FRANCE;CAP;37;55;10
0770922J;Lycée général et technologique Gaston Bachelard;ILE-DE-FRANCE;BTS;39;33;58
0770924L;Lycée polyvalent de Coulommiers;ILE-DE-FRANCE;BAC;45;38;46
0770924L;Lycée polyvalent de Coulommiers;ILE-DE-FRANCE;BTS;32;40;61
0770924L;Lycée polyvalent de Coulommiers;ILE-DE-FRANCE;CAP;51;35;42
0770926N;Lycée général et technologique François Couperin;ILE-DE-FRANCE;BTS;40;46;51
0770930T;Lycée général et technologique Henri Moissan;ILE-DE-FRANCE;BTS;26;52;
0770931U;Lycée polyvalent Pierre de Coubertin;ILE-DE-FRANCE;BAC;;61;40
0770931U;Lycée polyvalent Pierre de Coubertin;ILE-DE-FRANCE;BTS;35;36;46
0770931U;Lycée polyvalent Pierre de Coubertin;ILE-DE-FRANCE;CAP;38;53;
0770932V;Lycée professionnel Pierre de Coubertin;ILE-DE-FRANCE;BAC;30;51;35
0770932V;Lycée professionnel Pierre de Coubertin;ILE-DE-FRANCE;CAP;31;40;
0770934X;Lycée polyvalent Léonard de Vinci - Lycée des métiers comptabilité et l'informatique - Lycée des métiers ingénierie mécanique et électrotechnique;ILE-DE-FRANCE;BAC;26;57;33
0770934X;Lycée polyvalent Léonard de Vinci - Lycée des métiers comptabilité et l'informatique - Lycée des métiers ingénierie mécanique et électrotechnique;ILE-DE-FRANCE;BTS;36;35;49
0770934X;Lycée polyvalent Léonard de Vinci - Lycée des métiers comptabilité et l'informatique - Lycée des métiers ingénierie mécanique et électrotechnique;ILE-DE-FRANCE;MC4;38;;
0770938B;Lycée polyvalent André Malraux - Lycée des métiers des industries et du design graphique;ILE-DE-FRANCE;BAC;;52;23
0770938B;Lycée polyvalent André Malraux - Lycée des métiers des industries et du design graphique;ILE-DE-FRANCE;BTS;32;41;50
0770940D;Lycée polyvalent Etienne Bezout;ILE-DE-FRANCE;BAC;27;57;34
0770940D;Lycée polyvalent Etienne Bezout;ILE-DE-FRANCE;BTS;38;32;72
0770940D;Lycée polyvalent Etienne Bezout;ILE-DE-FRANCE;CAP;26;44;28
0770942F;Lycée polyvalent Thibaut de Champagne;ILE-DE-FRANCE;BAC;38;60;25
0770942F;Lycée polyvalent Thibaut de Champagne;ILE-DE-FRANCE;BTS;39;35;42
0770942F;Lycée polyvalent Thibaut de Champagne;ILE-DE-FRANCE;CAP;54;35;
0770943G;Lycée professionnel Benjamin Franklin - Lycée des métiers du bâtiment;ILE-DE-FRANCE;BAC;;59;36
0770943G;Lycée professionnel Benjamin Franklin - Lycée des métiers du bâtiment;ILE-DE-FRANCE;BTS;54;;
0770943G;Lycée professionnel Benjamin Franklin - Lycée des métiers du bâtiment;ILE-DE-FRANCE;CAP;46;46;29
0770944H;Lycée professionnel Auguste Perdonnet;ILE-DE-FRANCE;BAC;39;50;31
0770944H;Lycée professionnel Auguste Perdonnet;ILE-DE-FRANCE;CAP;30;37;15
0770945J;Lycée professionnel Gustave Eiffel - Lycée des métiers des structures métalliques et de la chaudronerie - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;BAC;40;64;32
0770945J;Lycée professionnel Gustave Eiffel - Lycée des métiers des structures métalliques et de la chaudronerie - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;BTS;30;22;
0770945J;Lycée professionnel Gustave Eiffel - Lycée des métiers des structures métalliques et de la chaudronerie - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;CAP;13;;
0770945J;Lycée professionnel Gustave Eiffel - Lycée des métiers des structures métalliques et de la chaudronerie - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;MC4;;42;
0771027Y;Lycée polyvalent Frédéric Joliot Curie - Lycée des métiers de la gestion des entreprises dans le cadre européen;ILE-DE-FRANCE;BAC;21;52;34
0771027Y;Lycée polyvalent Frédéric Joliot Curie - Lycée des métiers de la gestion des entreprises dans le cadre européen;ILE-DE-FRANCE;BTS;25;38;42
0771027Y;Lycée polyvalent Frédéric Joliot Curie - Lycée des métiers de la gestion des entreprises dans le cadre européen;ILE-DE-FRANCE;CAP;42;77;
0771171E;Lycée professionnel Louis Lumière - Lycée des métiers de l'électricité - Lycée des métiers du commerce;ILE-DE-FRANCE;BAC;35;56;33
0771171E;Lycée professionnel Louis Lumière - Lycée des métiers de l'électricité - Lycée des métiers du commerce;ILE-DE-FRANCE;BTS;31;39;61
0771171E;Lycée professionnel Louis Lumière - Lycée des métiers de l'électricité - Lycée des métiers du commerce;ILE-DE-FRANCE;CAP;22;55;12
0771200L;Lycée général et technologique privé Blanche de Castille;ILE-DE-FRANCE;BAC;31;54;26
0771200L;Lycée général et technologique privé Blanche de Castille;ILE-DE-FRANCE;BTS;36;26;45
0771238C;Ecole générale et technologique privée Saint Aspais;ILE-DE-FRANCE;BAC;29;70;39
0771238C;Ecole générale et technologique privée Saint Aspais;ILE-DE-FRANCE;BTS;32;65;35
0771336J;Lycée polyvalent les Pannevelles - Lycée des métiers du bâtiment et des travaux publics;ILE-DE-FRANCE;BAC;25;58;44
0771336J;Lycée polyvalent les Pannevelles - Lycée des métiers du bâtiment et des travaux publics;ILE-DE-FRANCE;BTS;57;52;51
0771336J;Lycée polyvalent les Pannevelles - Lycée des métiers du bâtiment et des travaux publics;ILE-DE-FRANCE;CAP;20;45;32
0771512A;Lycée général et technologique Van Dongen;ILE-DE-FRANCE;BTS;24;37;57
0771658J;Lycée polyvalent du Gué à Tresmes - Lycée des métiers de l'hôtellerie et restauration   des arts et design   de l'aménagement et finition du bâtiment;ILE-DE-FRANCE;BAC;44;35;46
0771658J;Lycée polyvalent du Gué à Tresmes - Lycée des métiers de l'hôtellerie et restauration   des arts et design   de l'aménagement et finition du bâtiment;ILE-DE-FRANCE;BTS;70;19;51
0771658J;Lycée polyvalent du Gué à Tresmes - Lycée des métiers de l'hôtellerie et restauration   des arts et design   de l'aménagement et finition du bâtiment;ILE-DE-FRANCE;CAP;28;57;27
0771663P;Lycée général et technologique George Sand;ILE-DE-FRANCE;BTS;29;24;54
0771763Y;Lycée général et technologique Charles Le Chauve;ILE-DE-FRANCE;BTS;27;57;55
0771880A;Lycée professionnel Charles Baudelaire;ILE-DE-FRANCE;BAC;25;47;32
0771880A;Lycée professionnel Charles Baudelaire;ILE-DE-FRANCE;CAP;32;30;
0771940R;Lycée polyvalent Simone Veil;ILE-DE-FRANCE;BAC;19;58;33
0771940R;Lycée polyvalent Simone Veil;ILE-DE-FRANCE;BTS;25;36;47
0771941S;Lycée polyvalent René Cassin;ILE-DE-FRANCE;BAC;35;70;19
0771941S;Lycée polyvalent René Cassin;ILE-DE-FRANCE;BTS;20;32;54
0771995A;Lycée professionnel le Champ de Claye - Lycée des métiers de l'énergie;ILE-DE-FRANCE;BAC;46;47;37
0771995A;Lycée professionnel le Champ de Claye - Lycée des métiers de l'énergie;ILE-DE-FRANCE;CAP;41;49;17
0771996B;Lycée général et technologique Honoré de Balzac;ILE-DE-FRANCE;BTS;45;38;42
0771997C;Lycée professionnel Jacques Prévert - Lycée des métiers des systèmes électroniques numériques et de l'électrotechnique;ILE-DE-FRANCE;BAC;42;52;38
0771997C;Lycée professionnel Jacques Prévert - Lycée des métiers des systèmes électroniques numériques et de l'électrotechnique;ILE-DE-FRANCE;BTS;38;38;
0771997C;Lycée professionnel Jacques Prévert - Lycée des métiers des systèmes électroniques numériques et de l'électrotechnique;ILE-DE-FRANCE;CAP;39;54;
0772120L;Lycée général et technologique Jean Moulin;ILE-DE-FRANCE;BAC;46;65;24
0772120L;Lycée général et technologique Jean Moulin;ILE-DE-FRANCE;BTS;16;35;45
0772127U;Lycée général et technologique Galilée;ILE-DE-FRANCE;BTS;40;57;52
0772151V;Lycée professionnel privé Les Sinoplies;ILE-DE-FRANCE;BAC;26;59;
0772151V;Lycée professionnel privé Les Sinoplies;ILE-DE-FRANCE;CAP;15;;
0772153X;Lycée polyvalent privé Jean Rose;ILE-DE-FRANCE;BAC;;62;49
0772153X;Lycée polyvalent privé Jean Rose;ILE-DE-FRANCE;BTS;26;55;64
0772188K;Lycée général et technologique Pierre Mendès France;ILE-DE-FRANCE;BTS;27;42;52
0772223Y;Lycée polyvalent René Descartes;ILE-DE-FRANCE;BAC;39;48;23
0772223Y;Lycée polyvalent René Descartes;ILE-DE-FRANCE;BTS;42;41;31
0772225A;Lycée professionnel Lino Ventura - Lycée des métiers de la santé et de l'aide à la personne;ILE-DE-FRANCE;BAC;27;63;32
0772225A;Lycée professionnel Lino Ventura - Lycée des métiers de la santé et de l'aide à la personne;ILE-DE-FRANCE;BTS;20;51;
0772225A;Lycée professionnel Lino Ventura - Lycée des métiers de la santé et de l'aide à la personne;ILE-DE-FRANCE;CAP;26;50;
0772225A;Lycée professionnel Lino Ventura - Lycée des métiers de la santé et de l'aide à la personne;ILE-DE-FRANCE;MC5;34;10;
0772228D;Lycée polyvalent Charles de Gaulle - Lycée des métiers de la santé et du travail social;ILE-DE-FRANCE;BAC;25;46;33
0772228D;Lycée polyvalent Charles de Gaulle - Lycée des métiers de la santé et du travail social;ILE-DE-FRANCE;BTS;25;30;50
0772229E;Lycée général et technologique Jean Vilar;ILE-DE-FRANCE;BTS;35;43;50
0772230F;Lycée polyvalent Blaise Pascal;ILE-DE-FRANCE;BAC;24;51;42
0772230F;Lycée polyvalent Blaise Pascal;ILE-DE-FRANCE;BTS;30;52;53
0772243V;Lycée général et technologique Camille Claudel;ILE-DE-FRANCE;BTS;15;69;
0772244W;Lycée polyvalent Antonin Carême - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BAC;36;51;42
0772244W;Lycée polyvalent Antonin Carême - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;CAP;51;44;17
0772244W;Lycée polyvalent Antonin Carême - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC5;37;15;
0772275E;Lycée polyvalent privé Maurice Rondeau - Lycée des métiers de l'électronique et de la maintenance;ILE-DE-FRANCE;BAC;30;58;41
0772275E;Lycée polyvalent privé Maurice Rondeau - Lycée des métiers de l'électronique et de la maintenance;ILE-DE-FRANCE;CAP;15;85;
0772276F;Lycée polyvalent Jehan de Chelles - Lycée des métiers de la santé et du social;ILE-DE-FRANCE;BAC;;43;26
0772276F;Lycée polyvalent Jehan de Chelles - Lycée des métiers de la santé et du social;ILE-DE-FRANCE;BTS;16;49;62
0772277G;Lycée polyvalent Henri Becquerel;ILE-DE-FRANCE;BAC;48;34;32
0772292Y;Lycée polyvalent Martin Luther King;ILE-DE-FRANCE;BTS;29;51;50
0772295B;Lycée polyvalent la Tour des Dames;ILE-DE-FRANCE;BAC;26;49;26
0772296C;Lycée polyvalent de la Mare Carrée;ILE-DE-FRANCE;BAC;42;67;39
0772296C;Lycée polyvalent de la Mare Carrée;ILE-DE-FRANCE;BTS;20;65;
0772310T;Lycée polyvalent Simone Signoret;ILE-DE-FRANCE;BAC;56;59;43
0772310T;Lycée polyvalent Simone Signoret;ILE-DE-FRANCE;BTS;20;36;
0772310T;Lycée polyvalent Simone Signoret;ILE-DE-FRANCE;CAP;44;41;12
0772312V;Lycée polyvalent Flora Tristan - Lycée des métiers de l'administration des PME-PMI - Lycée des métiers de la mode;ILE-DE-FRANCE;BAC;7;53;26
0772312V;Lycée polyvalent Flora Tristan - Lycée des métiers de l'administration des PME-PMI - Lycée des métiers de la mode;ILE-DE-FRANCE;BTS;29;17;49
0772312V;Lycée polyvalent Flora Tristan - Lycée des métiers de l'administration des PME-PMI - Lycée des métiers de la mode;ILE-DE-FRANCE;CAP;43;63;16
0772332S;Lycée polyvalent Sonia Delaunay;ILE-DE-FRANCE;BAC;32;61;31
0772342C;Lycée polyvalent Clément Ader;ILE-DE-FRANCE;BAC;21;51;28
0772342C;Lycée polyvalent Clément Ader;ILE-DE-FRANCE;BTS;38;;
0772342C;Lycée polyvalent Clément Ader;ILE-DE-FRANCE;CAP;;45;12
0772688D;Lycée polyvalent Emilie du Châtelet - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BAC;38;52;45
0772688D;Lycée polyvalent Emilie du Châtelet - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BTS;66;32;62
0772688D;Lycée polyvalent Emilie du Châtelet - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;CAP;38;29;17
0772751X;Lycée polyvalent Charlotte Delbo;ILE-DE-FRANCE;BAC;31;24;65
0780273Y;Lycée professionnel  Louis Blériot, lycée des métiers des services aux entreprises, aux collectivités et aux personnes;ILE-DE-FRANCE;BAC;76;56;43
0780273Y;Lycée professionnel  Louis Blériot, lycée des métiers des services aux entreprises, aux collectivités et aux personnes;ILE-DE-FRANCE;CAP;30;54;31
0780273Y;Lycée professionnel  Louis Blériot, lycée des métiers des services aux entreprises, aux collectivités et aux personnes;ILE-DE-FRANCE;MC5;46;;
0780422K;Lycée général et technologique François Villon;ILE-DE-FRANCE;BTS;;32;46
0780515L;Lycée général et technologique Les Sept Mares;ILE-DE-FRANCE;BTS;25;47;55
0780582J;Lycée général et technologique Jean Vilar;ILE-DE-FRANCE;BTS;18;53;52
0780584L;Lycée professionnel Henri Matisse, lycée des métiers de la petite enfance et des soins à la personne, et du commerce;ILE-DE-FRANCE;BAC;30;58;39
0780584L;Lycée professionnel Henri Matisse, lycée des métiers de la petite enfance et des soins à la personne, et du commerce;ILE-DE-FRANCE;BTS;24;54;
0780584L;Lycée professionnel Henri Matisse, lycée des métiers de la petite enfance et des soins à la personne, et du commerce;ILE-DE-FRANCE;CAP;32;56;
0781297L;Lycée général et technologique Plaine de Neauphle;ILE-DE-FRANCE;BTS;42;45;60
0781512V;Lycée général et technologique Descartes;ILE-DE-FRANCE;BTS;29;42;46
0781578S;Lycée polyvalent Hôtellerie et Tourisme, lycée des  métiers des services hôteliers et du tourisme;ILE-DE-FRANCE;BAC;23;64;49
0781578S;Lycée polyvalent Hôtellerie et Tourisme, lycée des  métiers des services hôteliers et du tourisme;ILE-DE-FRANCE;BP;52;;
0781578S;Lycée polyvalent Hôtellerie et Tourisme, lycée des  métiers des services hôteliers et du tourisme;ILE-DE-FRANCE;BTS;;42;52
0781578S;Lycée polyvalent Hôtellerie et Tourisme, lycée des  métiers des services hôteliers et du tourisme;ILE-DE-FRANCE;CAP;27;49;52
0781578S;Lycée polyvalent Hôtellerie et Tourisme, lycée des  métiers des services hôteliers et du tourisme;ILE-DE-FRANCE;MC4;39;38;
0781578S;Lycée polyvalent Hôtellerie et Tourisme, lycée des  métiers des services hôteliers et du tourisme;ILE-DE-FRANCE;MC5;;28;73
0781581V;Lycée professionnel privé Saint Thomas;ILE-DE-FRANCE;BAC;38;69;17
0781582W;Lycée professionnel privé Notre-Dame du Grandchamp;ILE-DE-FRANCE;BAC;18;71;20
0781582W;Lycée professionnel privé Notre-Dame du Grandchamp;ILE-DE-FRANCE;CAP;26;;
0781819D;Lycée polyvalent Emilie de Breteuil;ILE-DE-FRANCE;BAC;;62;
0781839A;Lycée polyvalent Jean Monnet, lycée des métiers de la vente et de la gestion;ILE-DE-FRANCE;BAC;18;67;35
0781839A;Lycée polyvalent Jean Monnet, lycée des métiers de la vente et de la gestion;ILE-DE-FRANCE;BTS;20;36;53
0781845G;Lycée général et technologique Jules Ferry;ILE-DE-FRANCE;BTS;28;54;27
0781856U;Lycée professionnel privé Saint Erembert;ILE-DE-FRANCE;BAC;31;63;14
0781859X;Lycée polyvalent Vincent Van Gogh;ILE-DE-FRANCE;BAC;4;39;24
0781859X;Lycée polyvalent Vincent Van Gogh;ILE-DE-FRANCE;BTS;;;
0781883Y;Lycée polyvalent Dumont d'Urville;ILE-DE-FRANCE;BAC;;63;29
0781883Y;Lycée polyvalent Dumont d'Urville;ILE-DE-FRANCE;BTS;27;33;50
0781883Y;Lycée polyvalent Dumont d'Urville;ILE-DE-FRANCE;MC4;22;17;
0781884Z;Lycée polyvalent Condorcet;ILE-DE-FRANCE;BAC;17;56;32
0781884Z;Lycée polyvalent Condorcet;ILE-DE-FRANCE;CAP;25;78;
0781898P;Lycée général et technologique Charles de Gaulle;ILE-DE-FRANCE;BTS;28;46;36
0781948U;Lycée polyvalent Antoine Lavoisier;ILE-DE-FRANCE;BAC;29;60;39
0781948U;Lycée polyvalent Antoine Lavoisier;ILE-DE-FRANCE;BTS;52;50;
0781948U;Lycée polyvalent Antoine Lavoisier;ILE-DE-FRANCE;CAP;21;63;24
0781948U;Lycée polyvalent Antoine Lavoisier;ILE-DE-FRANCE;MC4;38;;
0781949V;Lycée général et technologique de Villaroy;ILE-DE-FRANCE;BTS;;;
0781950W;Lycée polyvalent Louise Weiss;ILE-DE-FRANCE;BAC;;66;41
0781951X;Lycée polyvalent Sedar Senghor;ILE-DE-FRANCE;BAC;17;49;48
0781951X;Lycée polyvalent Sedar Senghor;ILE-DE-FRANCE;CAP;29;71;
0781951X;Lycée polyvalent Sedar Senghor;ILE-DE-FRANCE;MC5;37;;
0781983G;Lycée professionnel Adrienne Bolland, lycée des métiers des arts du bois, des services et de la mode;ILE-DE-FRANCE;BAC;;47;34
0781983G;Lycée professionnel Adrienne Bolland, lycée des métiers des arts du bois, des services et de la mode;ILE-DE-FRANCE;CAP;33;64;28
0781984H;Lycée polyvalent Vaucanson, lycée des métiers du génie électronique, du commerce et de l'aide à la personne;ILE-DE-FRANCE;BAC;29;55;23
0781984H;Lycée polyvalent Vaucanson, lycée des métiers du génie électronique, du commerce et de l'aide à la personne;ILE-DE-FRANCE;BTS;19;32;44
0781984H;Lycée polyvalent Vaucanson, lycée des métiers du génie électronique, du commerce et de l'aide à la personne;ILE-DE-FRANCE;CAP;44;46;27
0782100J;Lycée professionnel privé Les Châtaigniers;ILE-DE-FRANCE;BAC;38;66;28
0782100J;Lycée professionnel privé Les Châtaigniers;ILE-DE-FRANCE;CAP;13;77;
0782539L;Lycée général et technologique Saint-Exupéry;ILE-DE-FRANCE;BTS;11;32;44
0782540M;Lycée polyvalent Jean Rostand;ILE-DE-FRANCE;BAC;42;51;30
0782540M;Lycée polyvalent Jean Rostand;ILE-DE-FRANCE;BTS;36;30;58
0782540M;Lycée polyvalent Jean Rostand;ILE-DE-FRANCE;CAP;32;47;20
0782546U;Lycée général et technologique Le Corbusier;ILE-DE-FRANCE;BTS;36;42;62
0782549X;Lycée polyvalent Louis Bascan;ILE-DE-FRANCE;BAC;22;69;40
0782549X;Lycée polyvalent Louis Bascan;ILE-DE-FRANCE;BTS;35;42;56
0782549X;Lycée polyvalent Louis Bascan;ILE-DE-FRANCE;CAP;38;48;42
0782556E;Lycée polyvalent Léonard de Vinci, lycée des métiers de l'électrotechnique et des automatismes;ILE-DE-FRANCE;BAC;29;60;33
0782556E;Lycée polyvalent Léonard de Vinci, lycée des métiers de l'électrotechnique et des automatismes;ILE-DE-FRANCE;BTS;18;44;44
0782556E;Lycée polyvalent Léonard de Vinci, lycée des métiers de l'électrotechnique et des automatismes;ILE-DE-FRANCE;CAP;30;42;
0782557F;Lycée polyvalent Jean-Baptiste Poquelin, lycée des métiers du management et de la gestion;ILE-DE-FRANCE;BAC;32;67;24
0782557F;Lycée polyvalent Jean-Baptiste Poquelin, lycée des métiers du management et de la gestion;ILE-DE-FRANCE;BTS;14;49;61
0782565P;Lycée polyvalent Jules Ferry;ILE-DE-FRANCE;BAC;25;64;24
0782565P;Lycée polyvalent Jules Ferry;ILE-DE-FRANCE;BTS;38;44;52
0782567S;Lycée général et technologique Marie Curie;ILE-DE-FRANCE;BTS;25;46;59
0782587N;Lycée polyvalent Viollet-Le-Duc, lycée des métiers de l'habitat et du développement durable;ILE-DE-FRANCE;BAC;23;59;48
0782587N;Lycée polyvalent Viollet-Le-Duc, lycée des métiers de l'habitat et du développement durable;ILE-DE-FRANCE;BTS;35;41;57
0782587N;Lycée polyvalent Viollet-Le-Duc, lycée des métiers de l'habitat et du développement durable;ILE-DE-FRANCE;CAP;37;51;21
0782593V;Lycée professionnel Jean Perrin;ILE-DE-FRANCE;BAC;37;60;32
0782593V;Lycée professionnel Jean Perrin;ILE-DE-FRANCE;CAP;35;69;
0782593V;Lycée professionnel Jean Perrin;ILE-DE-FRANCE;MC4;12;;
0782602E;Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique;ILE-DE-FRANCE;BAC;;59;37
0782602E;Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique;ILE-DE-FRANCE;BTS;28;21;50
0782602E;Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique;ILE-DE-FRANCE;CAP;19;70;
0782602E;Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique;ILE-DE-FRANCE;MC5;35;21;
0782603F;Lycée professionnel Jacques Prévert;ILE-DE-FRANCE;BAC;;62;41
0782603F;Lycée professionnel Jacques Prévert;ILE-DE-FRANCE;BTS;29;;
0782603F;Lycée professionnel Jacques Prévert;ILE-DE-FRANCE;CAP;;69;
0782822U;Lycée polyvalent Pierre Corneille, lycée des métiers de la vente et  des services aux entreprises;ILE-DE-FRANCE;BAC;23;52;25
0782822U;Lycée polyvalent Pierre Corneille, lycée des métiers de la vente et  des services aux entreprises;ILE-DE-FRANCE;BTS;35;47;44
0782822U;Lycée polyvalent Pierre Corneille, lycée des métiers de la vente et  des services aux entreprises;ILE-DE-FRANCE;CAP;33;73;
0782822U;Lycée polyvalent Pierre Corneille, lycée des métiers de la vente et  des services aux entreprises;ILE-DE-FRANCE;MC4;;;
0782924E;Lycée général et technologique Evariste Galois;ILE-DE-FRANCE;BTS;;52;54
0783214V;Lycée professionnel Lucien René Duchesne, lycée des métiers de l'automobile;ILE-DE-FRANCE;BAC;29;57;42
0783214V;Lycée professionnel Lucien René Duchesne, lycée des métiers de l'automobile;ILE-DE-FRANCE;CAP;44;46;37
0783288A;Lycée polyvalent privé Notre Dame;ILE-DE-FRANCE;BAC;20;55;
0783323N;Lycée technologique privé Saint Thomas de Villeneuve;ILE-DE-FRANCE;BTS;46;56;
0783325R;Lycée polyvalent privé Saint Vincent de Paul, Lycée des métiers de la vente et de la digitalisation de la relation clientèle;ILE-DE-FRANCE;BAC;25;59;32
0783325R;Lycée polyvalent privé Saint Vincent de Paul, Lycée des métiers de la vente et de la digitalisation de la relation clientèle;ILE-DE-FRANCE;BTS;31;;
0783325R;Lycée polyvalent privé Saint Vincent de Paul, Lycée des métiers de la vente et de la digitalisation de la relation clientèle;ILE-DE-FRANCE;CAP;;74;
0783330W;Lycée professionnel privé Roulleau;ILE-DE-FRANCE;BAC;;38;
0783344L;Lycée général et technologique privé Notre Dame;ILE-DE-FRANCE;BTS;82;62;68
0783351U;Lycée général et technologique privé Notre Dame du Grandchamp;ILE-DE-FRANCE;BTS;25;52;56
0783431F;Lycée polyvalent Jules Verne, lycée des métiers de l'artisanat d'art dans les professions du spectacle;ILE-DE-FRANCE;BAC;16;51;28
0783431F;Lycée polyvalent Jules Verne, lycée des métiers de l'artisanat d'art dans les professions du spectacle;ILE-DE-FRANCE;CAP;27;67;16
0783447Y;Lycée polyvalent Simone Weil, lycée des métiers du nautisme;ILE-DE-FRANCE;BAC;31;51;34
0783447Y;Lycée polyvalent Simone Weil, lycée des métiers du nautisme;ILE-DE-FRANCE;CAP;40;57;
0783533S;Lycée polyvalent Camille Claudel, lycée des métiers de l'hôtellerie, de la restauration et du commerce;ILE-DE-FRANCE;BAC;19;53;31
0783533S;Lycée polyvalent Camille Claudel, lycée des métiers de l'hôtellerie, de la restauration et du commerce;ILE-DE-FRANCE;CAP;43;50;29
0783537W;Lycée professionnel privé Notre Dame;ILE-DE-FRANCE;BAC;32;54;36
0910429X;Etablissement régional d'enseignement adapté Le Château du Lac;ILE-DE-FRANCE;CAP;27;56;41
0910620E;Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie;ILE-DE-FRANCE;BAC;23;53;39
0910620E;Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie;ILE-DE-FRANCE;BTS;28;39;49
0910620E;Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie;ILE-DE-FRANCE;CAP;32;64;
0910622G;Lycée polyvalent Geoffroy-Saint-Hilaire;ILE-DE-FRANCE;BAC;24;49;27
0910622G;Lycée polyvalent Geoffroy-Saint-Hilaire;ILE-DE-FRANCE;BTS;33;34;50
0910623H;Lycée général et technologique Marcel Pagnol;ILE-DE-FRANCE;BTS;27;37;58
0910625K;Lycée général et technologique Rosa Parks;ILE-DE-FRANCE;BTS;35;39;55
0910627M;Lycée général et technologique Jean-Baptiste Corot;ILE-DE-FRANCE;BTS;39;51;51
0910628N;Lycée professionnel Paul Belmondo;ILE-DE-FRANCE;BAC;15;54;35
0910628N;Lycée professionnel Paul Belmondo;ILE-DE-FRANCE;CAP;29;51;
0910629P;Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie;ILE-DE-FRANCE;BAC;21;57;40
0910629P;Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie;ILE-DE-FRANCE;BTS;56;;
0910629P;Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie;ILE-DE-FRANCE;CAP;;58;41
0910629P;Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie;ILE-DE-FRANCE;MC5;20;30;30
0910630R;Lycée polyvalent Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique;ILE-DE-FRANCE;BAC;15;53;48
0910630R;Lycée polyvalent Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique;ILE-DE-FRANCE;BTS;34;;
0910630R;Lycée polyvalent Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique;ILE-DE-FRANCE;CAP;;57;21
0910630R;Lycée polyvalent Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique;ILE-DE-FRANCE;MC4;23;29;59
0910631S;Lycée professionnel Jean Monnet, lycée des métiers des services aux entreprises;ILE-DE-FRANCE;BAC;45;59;27
0910631S;Lycée professionnel Jean Monnet, lycée des métiers des services aux entreprises;ILE-DE-FRANCE;CAP;15;18;
0910632T;Lycée professionnel Gustave Eiffel, lycée des métiers de la mode et du bâtiment;ILE-DE-FRANCE;BAC;48;58;50
0910632T;Lycée professionnel Gustave Eiffel, lycée des métiers de la mode et du bâtiment;ILE-DE-FRANCE;BTS;41;27;83
0910632T;Lycée professionnel Gustave Eiffel, lycée des métiers de la mode et du bâtiment;ILE-DE-FRANCE;CAP;30;57;41
0910676R;Lycée polyvalent Clément Ader;ILE-DE-FRANCE;BAC;29;59;23
0910676R;Lycée polyvalent Clément Ader;ILE-DE-FRANCE;BTS;34;27;50
0910676R;Lycée polyvalent Clément Ader;ILE-DE-FRANCE;CAP;36;;
0910687C;Lycée général et technologique Fustel de Coulanges;ILE-DE-FRANCE;BTS;;47;55
0910715H;Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises;ILE-DE-FRANCE;BAC;27;51;31
