"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"infirmier / infirmière humanitaire";https://www.onisep.fr/http/redirection/metier/slug/MET.343;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";J1506;"Soins infirmiers généralistes";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1506;"santé, social, sport/paramédical| santé, social, sport/travail social"
"influenceur / influenceuse";https://www.onisep.fr/http/redirection/metier/slug/MET.7836;;"pas de publication Onisep spécifique";;;"GFE U : communication, médias";;;;"information-communication, audiovisuel/communication"
"ingénieur / ingénieure calcul";https://www.onisep.fr/http/redirection/metier/slug/MET.206;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"matières premières, fabrication, industries/études et développement| informatique, Internet/informatique industrielle et technologique| informatique, Internet/informatique pour la recherche| sciences/mathématiques| sciences/physique"
"ingénieur / ingénieure chimiste en développement analytique";https://www.onisep.fr/http/redirection/metier/slug/MET.738;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502;sciences/chimie
"ingénieur / ingénieure combustion et brûleurs";https://www.onisep.fr/http/redirection/metier/slug/MET.488;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies| sciences/physique"
"ingénieur / ingénieure de la police technique et scientifique";https://www.onisep.fr/http/redirection/metier/slug/MET.598;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"sciences/biologie| sciences/chimie| informatique, Internet/informatique (généralités)| armée, sécurité/sécurité, prévention"
"ingénieur / ingénieure de recherche clinique et épidémiologique";https://www.onisep.fr/http/redirection/metier/slug/MET.844;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"santé, social, sport/médical| santé, social, sport/santé (généralités)"
"ingénieur / ingénieure efficacité énergétique du bâtiment";https://www.onisep.fr/http/redirection/metier/slug/MET.500;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/génie civil, construction (généralités)"
"ingénieur / ingénieure en automatismes";https://www.onisep.fr/http/redirection/metier/slug/MET.326;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"mécanique/automatismes| électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/fabrication, productique| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur / ingénieure en électronique numérique";https://www.onisep.fr/http/redirection/metier/slug/MET.243;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502";"informatique, Internet/développement, programmation, logiciel| électricité, électronique, robotique/électronique| informatique, Internet/informatique (généralités)| électricité, électronique, robotique/télécommunications"
"ingénieur / ingénieure en fonderie";https://www.onisep.fr/http/redirection/metier/slug/MET.706;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"matières premières, fabrication, industries/matériaux"
"ingénieur / ingénieure en imagerie médicale";https://www.onisep.fr/http/redirection/metier/slug/MET.602;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE R : santé, social, soins personnels";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"santé, social, sport/paramédical"
"ingénieur / ingénieure en photonique";https://www.onisep.fr/http/redirection/metier/slug/MET.809;"Les métiers de l'électronique et de la photonique";"Zoom sur les métiers";2023;9782273016254;"GFE H : électricité, énergie, électronique";;;;"électricité, électronique, robotique/électronique"
"ingénieur / ingénieure environnement et risques industriels";https://www.onisep.fr/http/redirection/metier/slug/MET.368;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"sciences/biologie| sciences/chimie"
"ingénieur / ingénieure essais";https://www.onisep.fr/http/redirection/metier/slug/MET.370;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"mécanique/aéronautique| matières premières, fabrication, industries/études et développement| mécanique/mécanique (généralités)"
"ingénieur / ingénieure fluides, énergies, réseaux, environnement";https://www.onisep.fr/http/redirection/metier/slug/MET.725;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)| sciences/physique"
"ingénieur / ingénieure hydroécologue";https://www.onisep.fr/http/redirection/metier/slug/MET.349;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"environnement, énergies, propreté/environnement (généralités)| environnement, énergies, propreté/gestion de l'eau| sciences/sciences de la Terre"
"ingénieur / ingénieure logistique";https://www.onisep.fr/http/redirection/metier/slug/MET.733;"Les métiers du transport routier et de la logistique";"Zoom sur les métiers";2018;9782273013659;"GFE O : transport, logistique";N1301;"Conception et organisation de la chaîne logistique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=N1301;"logistique, transport/logistique"
"ingénieur / ingénieure matériaux";https://www.onisep.fr/http/redirection/metier/slug/MET.356;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502";"matières premières, fabrication, industries/matériaux"
"ingénieur / ingénieure procédés en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.502;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"sciences/chimie| matières premières, fabrication, industries/fabrication, productique| matières premières, fabrication, industries/matériaux| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur / ingénieure production en aéronautique";https://www.onisep.fr/http/redirection/metier/slug/MET.211;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE F : mécanique";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"mécanique/aéronautique| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur / ingénieure radioprotection";https://www.onisep.fr/http/redirection/metier/slug/MET.737;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"environnement, énergies, propreté/énergies| armée, sécurité/sécurité, prévention"
"ingénieur / ingénieure structures";https://www.onisep.fr/http/redirection/metier/slug/MET.947;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction, architecture, travaux publics/génie civil| construction, architecture, travaux publics/génie civil, construction (généralités)| mécanique/mécanique (généralités)"
"ingénieur / ingénieure systèmes embarqués";https://www.onisep.fr/http/redirection/metier/slug/MET.244;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE H : électricité, énergie, électronique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502";"informatique, Internet/développement, programmation, logiciel| électricité, électronique, robotique/électronique| électricité, électronique, robotique/télécommunications"
"ingénieur / ingénieure systèmes embarqués";https://www.onisep.fr/http/redirection/metier/slug/MET.244;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE H : électricité, énergie, électronique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502";"informatique, Internet/développement, programmation, logiciel| électricité, électronique, robotique/électronique| électricité, électronique, robotique/télécommunications"
"ingénieur / ingénieure textile";https://www.onisep.fr/http/redirection/metier/slug/MET.480;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE L : textile, habillement, cuir";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"matières premières, fabrication, industries/textile, habillement"
"ingénieur aromaticien / ingénieure aromaticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.79;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";H1505;"Intervention technique en formulation et analyse sensorielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1505;"matières premières, fabrication, industries/agroalimentaire| sciences/chimie"
"ingénieur électricien / ingénieure électricienne";https://www.onisep.fr/http/redirection/metier/slug/MET.75;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502";"électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies"
"ingénieur en chef territorial / ingénieure en chef territoriale";https://www.onisep.fr/http/redirection/metier/slug/MET.518;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1404;"Mise en oeuvre et pilotage de la politique des pouvoirs publics";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1404;"environnement, énergies, propreté/aménagement du territoire| environnement, énergies, propreté/environnement (généralités)| environnement, énergies, propreté/urbanisme"
"accompagnant éducatif et social / accompagnante éducative et sociale";https://www.onisep.fr/http/redirection/metier/slug/MET.782;"Les métiers des associations de l'aide et du soin à domicile";"Zoom sur les métiers";2017;9782273013628;"GFE R : santé, social, soins personnels";"K1301 | K1302";"Accompagnement médicosocial | Assistance auprès d'adultes";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1301 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1302";"santé, social, sport/travail social"
"accompagnateur / accompagnatrice en moyenne montagne";https://www.onisep.fr/http/redirection/metier/slug/MET.784;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"santé, social, sport/sport| hôtellerie-restauration, tourisme/tourisme"
"acheteur / acheteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.571;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
"acheteur / acheteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.571;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
actuaire;https://www.onisep.fr/http/redirection/metier/slug/MET.861;"Les métiers dans l'assurance";"Zoom sur les métiers";2023;9782273016728;"GFE Q : commerce, gestion, finances";C1105;"Études actuarielles en assurances";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1105;"banque, assurances, immobilier/assurances| sciences/mathématiques"
actuaire;https://www.onisep.fr/http/redirection/metier/slug/MET.861;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";C1105;"Études actuarielles en assurances";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1105;"banque, assurances, immobilier/assurances| sciences/mathématiques"
"administrateur / administratrice de base de données";https://www.onisep.fr/http/redirection/metier/slug/MET.14;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1801;"informatique, Internet/bases de données| informatique, Internet/informatique (généralités)"
"administrateur / administratrice de logiciels de laboratoire";https://www.onisep.fr/http/redirection/metier/slug/MET.717;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1810;"Production et exploitation de systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1810;"informatique, Internet/informatique (généralités)| informatique, Internet/systèmes et réseaux"
"administrateur / administratrice du Sénat";https://www.onisep.fr/http/redirection/metier/slug/MET.7904;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";;;;"économie, droit, politique/droit public| économie, droit, politique/sciences politiques"
"aérodynamicien / aérodynamicienne en aéronautique";https://www.onisep.fr/http/redirection/metier/slug/MET.371;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"mécanique/aéronautique| mécanique/mécanique (généralités)| sciences/physique"
"agent / agente arboricole";https://www.onisep.fr/http/redirection/metier/slug/MET.793;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1405;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/cultures"
"agent / agente d'opérations aériennes";https://www.onisep.fr/http/redirection/metier/slug/MET.7821;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N2204;"Préparation des vols";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=N2204;"logistique, transport/transport"
"agent / agente de développement touristique";https://www.onisep.fr/http/redirection/metier/slug/MET.919;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1102;"arts, culture, artisanat/activités culturelles| environnement, énergies, propreté/aménagement du territoire| hôtellerie-restauration, tourisme/tourisme"
"agent / agente de sécurité";https://www.onisep.fr/http/redirection/metier/slug/MET.347;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE T : environnement, nettoyage, sécurité";K2503;"Sécurité et surveillance privées";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2503;"armée, sécurité/sécurité, prévention"
"agent / agente valoriste";https://www.onisep.fr/http/redirection/metier/slug/MET.7818;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";K2304;"Revalorisation de produits industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2304;"environnement, énergies, propreté/déchets, pollutions et risques"
"agent général / agente générale d'assurances";https://www.onisep.fr/http/redirection/metier/slug/MET.409;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1103;"Courtage en assurances";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1103;"banque, assurances, immobilier/assurances"
"agriculteur / agricultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.547;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE A : agriculture";A1416;"Polyculture, élevage";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1416;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/cultures| agriculture, animaux/élevage, aquaculture"
aide-chimiste;https://www.onisep.fr/http/redirection/metier/slug/MET.952;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1503;"Intervention technique en laboratoire d'analyse industrielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1503;sciences/chimie
"ajusteur-monteur / ajusteuse-monteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.575;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H2901;"Ajustement et montage de fabrication";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2901;"mécanique/mécanique (généralités)"
"ambulancier / ambulancière";https://www.onisep.fr/http/redirection/metier/slug/MET.417;"Les métiers du transport routier et de la logistique";"Zoom sur les métiers";2018;9782273013659;"GFE R : santé, social, soins personnels";J1305;"Conduite de véhicules sanitaires";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1305;"santé, social, sport/paramédical| logistique, transport/transport"
"anesthésiste-réanimateur / anesthésiste-réanimatrice";https://www.onisep.fr/http/redirection/metier/slug/MET.710;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1102;"Médecine généraliste et spécialisée";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1102;"santé, social, sport/médical"
"animateur / animatrice d'activités physiques et sportives pour tous";https://www.onisep.fr/http/redirection/metier/slug/MET.808;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1204;"santé, social, sport/sport"
"animateur / animatrice de site web";https://www.onisep.fr/http/redirection/metier/slug/MET.7814;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1101;"Animation de site multimédia";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=E1101;"information-communication, audiovisuel/communication"
"animateur / animatrice du patrimoine";https://www.onisep.fr/http/redirection/metier/slug/MET.445;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE S : hôtellerie,  tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1102;"arts, culture, artisanat/activités culturelles| hôtellerie-restauration, tourisme/tourisme"
"animateur nature / animatrice nature";https://www.onisep.fr/http/redirection/metier/slug/MET.77;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE T : environnement, nettoyage, sécurité";G1202;"Animation d'activités culturelles ou ludiques";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1202;"hôtellerie-restauration, tourisme/tourisme"
"animateur socioculturel / animatrice socioculturelle";https://www.onisep.fr/http/redirection/metier/slug/MET.65;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE S : hôtellerie,  tourisme, loisirs";K1206;"Intervention socioculturelle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1206;"santé, social, sport/travail social"
"aquaculteur / aquacultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.90;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE B : pêche, mer";A1404;Aquaculture;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1404;"agriculture, animaux/élevage, aquaculture"
"architecte d'intérieur";https://www.onisep.fr/http/redirection/metier/slug/MET.258;"Les métiers du design";Parcours;2019;9782273014595;"GFE C : bâtiment";F1102;"Conception - aménagement d'espaces intérieurs";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1102;"arts, culture, artisanat/arts appliqués"
"architecte produit industriel";https://www.onisep.fr/http/redirection/metier/slug/MET.611;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"informatique, Internet/informatique (généralités)| sciences/mathématiques| électricité, électronique, robotique/télécommunications"
art-thérapeute;https://www.onisep.fr/http/redirection/metier/slug/MET.939;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K1104;Psychologie;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1104;"santé, social, sport/paramédical"
"assistant / assistante d'éducation";https://www.onisep.fr/http/redirection/metier/slug/MET.7831;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2104;"Éducation et surveillance au sein d'établissements d'enseignement";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2104;"armée, sécurité/sécurité, prévention| santé, social, sport/travail social"
"assistant / assistante de service social";https://www.onisep.fr/http/redirection/metier/slug/MET.64;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1201;"Action sociale";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1201;"santé, social, sport/travail social"
"assistant / assistante dentaire";https://www.onisep.fr/http/redirection/metier/slug/MET.330;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1303;"Assistance médico-technique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1303;"santé, social, sport/paramédical"
"assistant commercial / assistante commerciale";https://www.onisep.fr/http/redirection/metier/slug/MET.28;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1401;"Assistanat commercial";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1401;"gestion des entreprises, comptabilité/secrétariat"
"assistant médical / assistante médicale";https://www.onisep.fr/http/redirection/metier/slug/MET.7819;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1303;"Assistance médico-technique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1303;"santé, social, sport/paramédical| gestion des entreprises, comptabilité/secrétariat"
"attaché / attachée de presse";https://www.onisep.fr/http/redirection/metier/slug/MET.879;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=E1103;"information-communication, audiovisuel/communication"
"attaché / attachée de recherche clinique";https://www.onisep.fr/http/redirection/metier/slug/MET.300;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"santé, social, sport/médical"
"attaché territorial / attachée territoriale";https://www.onisep.fr/http/redirection/metier/slug/MET.441;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";K1404;"Mise en oeuvre et pilotage de la politique des pouvoirs publics";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1404;"économie, droit, politique/droit public| économie, droit, politique/sciences économiques| environnement, énergies, propreté/urbanisme"
"auditeur / auditrice externe";https://www.onisep.fr/http/redirection/metier/slug/MET.591;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";M1402;"Conseil en organisation et management d'entreprise";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1402;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, Internet/informatique (généralités)"
"auxiliaire de puériculture";https://www.onisep.fr/http/redirection/metier/slug/MET.415;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1304;"Aide en puériculture";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1304;"santé, social, sport/paramédical"
"avocat / avocate";https://www.onisep.fr/http/redirection/metier/slug/MET.33;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1903;"Défense et conseil juridique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1903;"économie, droit, politique/activité judiciaire"
"barman / barmaid";https://www.onisep.fr/http/redirection/metier/slug/MET.145;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1801;"Café, bar brasserie";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1801;"hôtellerie-restauration, tourisme/restauration"
"batelier / batelière";https://www.onisep.fr/http/redirection/metier/slug/MET.577;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N3103;"Navigation fluviale";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=N3103;"logistique, transport/transport"
bibliothécaire;https://www.onisep.fr/http/redirection/metier/slug/MET.44;"Les métiers du livre";Parcours;2021;9782273015851;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/bibliothèque, documentation"
"BIM manager";https://www.onisep.fr/http/redirection/metier/slug/MET.902;"Les métiers du Grand Paris Express";"Pourquoi pas moi ?";2020;9782273015127;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction, architecture, travaux publics/génie civil| informatique, Internet/informatique (généralités)| informatique, Internet/informatique industrielle et technologique| construction, architecture, travaux publics/travaux publics"
"biologiste en environnement";https://www.onisep.fr/http/redirection/metier/slug/MET.589;"Les métiers de la biologie";Parcours;2020;9782273015066;"GFE T : environnement, nettoyage, sécurité";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"sciences/biologie| environnement, énergies, propreté/environnement (généralités)"
