"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
antiquaire;https://www.onisep.fr/http/redirection/metier/slug/MET.395;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE V : arts, spectacle, audiovisuel";D1201;"Achat vente d'objets d'art, anciens ou d'occasion";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1201;"arts, culture, artisanat/commerce de l'art| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art| commerce, marketing, vente/marketing, vente"
"aquaculteur / aquacultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.90;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE B : pêche, mer";A1404;Aquaculture;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1404;"agriculture, animaux/élevage, aquaculture"
"architecte des systèmes d'information";https://www.onisep.fr/http/redirection/metier/slug/MET.478;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"information-communication, audiovisuel/technologies de l'information"
"architecte réseaux";https://www.onisep.fr/http/redirection/metier/slug/MET.551;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1804;"Études et développement de réseaux de télécoms";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1804;"informatique, Internet/systèmes et réseaux| électricité, électronique, robotique/télécommunications"
"artiste de cirque";https://www.onisep.fr/http/redirection/metier/slug/MET.779;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE V : arts, spectacle, audiovisuel";L1204;"Arts du cirque et arts visuels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1204;"arts, culture, artisanat/arts du spectacle| santé, social, sport/sport"
"assistant / assistante de direction";https://www.onisep.fr/http/redirection/metier/slug/MET.319;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1604;"Assistanat de direction";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1604;"gestion des entreprises, comptabilité/secrétariat"
"assistant / assistante en architecture";https://www.onisep.fr/http/redirection/metier/slug/MET.648;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2020;9782273015196;"GFE C : bâtiment";;;;"construction, architecture, travaux publics/architecture| construction, architecture, travaux publics/bureau d'études BTP| informatique, Internet/informatique industrielle et technologique"
"assistant commercial / assistante commerciale";https://www.onisep.fr/http/redirection/metier/slug/MET.28;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";D1401;"Assistanat commercial";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1401;"gestion des entreprises, comptabilité/secrétariat"
"assistant réalisateur / assistante réalisatrice";https://www.onisep.fr/http/redirection/metier/slug/MET.178;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE V : arts, spectacle, audiovisuel";L1304;"Réalisation cinématographique et audiovisuelle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1304;"information-communication, audiovisuel/audiovisuel"
astronaute;https://www.onisep.fr/http/redirection/metier/slug/MET.7835;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"sciences/biologie| sciences/mathématiques| sciences/physique| sciences/sciences de la Terre"
"attaché / attachée de presse";https://www.onisep.fr/http/redirection/metier/slug/MET.879;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=E1103;"information-communication, audiovisuel/communication"
"attaché / attachée de recherche clinique";https://www.onisep.fr/http/redirection/metier/slug/MET.300;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"santé, social, sport/médical"
"audiodescripteur / audiodescriptrice";https://www.onisep.fr/http/redirection/metier/slug/MET.327;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE U : communication, médias";L1203;"Art dramatique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1203;"information-communication, audiovisuel/audiovisuel| lettres, langues, enseignement/lettres, linguistique"
